date	away_team	home_team	predicted_total	kalshi_line	kalshi_yes_price	kalshi_side	kalshi_edge_pct	kalshi_fair_price_pct	kalshi_side_model_prob	kalshi_side_market_prob	bet_amount	bet_pct_bankroll	actual_total	result	pnl_dollars	roi_pct	settled	skip_reason
2026-04-01	Colorado Rockies	Toronto Blue Jays	9.41	7.5	0.49	OVER	17.2	66.2	66.2	49.0	506.0	5.06	3.0	loss	-506.0	-100.0	True	
2026-04-01	New York Mets	St. Louis Cardinals	9.49	7.5	0.51	OVER	15.8	66.8	66.8	51.0	459.0	4.835	3.0	loss	-459.0	-100.0	True	
2026-04-01	Washington Nationals	Philadelphia Phillies	11.11	7.5	0.53	OVER	24.0	77.0	77.0	53.0	692.0	7.659	11.0	win	613.66	88.68	True	
2026-04-01	Tampa Bay Rays	Milwaukee Brewers	8.0	7.5	0.44		10.4	54.4	54.4	44.0	0.0	0.0	10.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-01	Chicago White Sox	Miami Marlins	9.89	7.5	0.48	OVER	21.5	69.5	69.5	48.0	600.0	6.218	10.0	win	650.0	108.33	True	
2026-04-01	Cleveland Guardians	Los Angeles Dodgers	10.65	7.5	0.52	OVER	22.3	74.3	74.3	52.0	719.0	6.981	5.0	loss	-719.0	-100.0	True	
2026-04-01	Boston Red Sox	Houston Astros	8.83	7.5	0.44	OVER	17.7	61.7	61.7	44.0	454.0	4.739	10.0	win	577.82	127.27	True	
2026-04-01	Pittsburgh Pirates	Cincinnati Reds	9.56	7.5	0.48	OVER	19.6	67.6	67.6	48.0	574.0	5.651	11.0	win	621.83	108.33	True	
2026-04-01	Los Angeles Angels	Chicago Cubs	7.69	5.5	0.53	OVER	15.9	68.9	68.9	53.0	546.0	5.065	8.0	win	484.19	88.68	True	
2026-04-01	Texas Rangers	Baltimore Orioles	9.73	8.5	0.47	OVER	13.9	60.9	60.9	47.0	444.0	3.942	11.0	win	500.68	112.77	True	
