game_id	date	home_team	away_team	home_dc_attack	home_dc_defense	away_dc_attack	away_dc_defense	dc_lambda_home	dc_lambda_away	dc_expected_total	dc_home_edge	dc_fit_n_games	dc_halflife	dc_window_days	dc_min_games	dc_l2_penalty
634615	2021-04-01	Colorado Rockies	Los Angeles Dodgers									0	60.0	365	100	0.05
634618	2021-04-01	San Diego Padres	Arizona Diamondbacks									0	60.0	365	100	0.05
634622	2021-04-01	Philadelphia Phillies	Atlanta Braves									0	60.0	365	100	0.05
634625	2021-04-01	Seattle Mariners	San Francisco Giants									0	60.0	365	100	0.05
634630	2021-04-01	Kansas City Royals	Texas Rangers									0	60.0	365	100	0.05
634634	2021-04-01	Chicago Cubs	Pittsburgh Pirates									0	60.0	365	100	0.05
634636	2021-04-01	Cincinnati Reds	St. Louis Cardinals									0	60.0	365	100	0.05
634638	2021-04-01	Milwaukee Brewers	Minnesota Twins									0	60.0	365	100	0.05
634640	2021-04-01	Oakland Athletics	Houston Astros									0	60.0	365	100	0.05
634642	2021-04-01	New York Yankees	Toronto Blue Jays									0	60.0	365	100	0.05
634645	2021-04-01	Detroit Tigers	Cleveland Indians									0	60.0	365	100	0.05
634652	2021-04-01	Miami Marlins	Tampa Bay Rays									0	60.0	365	100	0.05
634655	2021-04-01	Los Angeles Angels	Chicago White Sox									0	60.0	365	100	0.05
634576	2021-04-02	San Diego Padres	Arizona Diamondbacks									0	60.0	365	100	0.05
634578	2021-04-02	Seattle Mariners	San Francisco Giants									0	60.0	365	100	0.05
634602	2021-04-02	Miami Marlins	Tampa Bay Rays									0	60.0	365	100	0.05
634605	2021-04-02	Oakland Athletics	Houston Astros									0	60.0	365	100	0.05
634627	2021-04-02	Boston Red Sox	Baltimore Orioles									0	60.0	365	100	0.05
634631	2021-04-02	Los Angeles Angels	Chicago White Sox									0	60.0	365	100	0.05
634653	2021-04-02	Colorado Rockies	Los Angeles Dodgers									0	60.0	365	100	0.05
634573	2021-04-03	Detroit Tigers	Cleveland Indians									0	60.0	365	100	0.05
634575	2021-04-03	Milwaukee Brewers	Minnesota Twins									0	60.0	365	100	0.05
634577	2021-04-03	Boston Red Sox	Baltimore Orioles									0	60.0	365	100	0.05
634580	2021-04-03	Philadelphia Phillies	Atlanta Braves									0	60.0	365	100	0.05
634596	2021-04-03	Miami Marlins	Tampa Bay Rays									0	60.0	365	100	0.05
634604	2021-04-03	Kansas City Royals	Texas Rangers									0	60.0	365	100	0.05
634623	2021-04-03	San Diego Padres	Arizona Diamondbacks									0	60.0	365	100	0.05
634629	2021-04-03	Oakland Athletics	Houston Astros									0	60.0	365	100	0.05
634633	2021-04-03	Colorado Rockies	Los Angeles Dodgers									0	60.0	365	100	0.05
634639	2021-04-03	Seattle Mariners	San Francisco Giants									0	60.0	365	100	0.05
634643	2021-04-03	Chicago Cubs	Pittsburgh Pirates									0	60.0	365	100	0.05
634644	2021-04-03	New York Yankees	Toronto Blue Jays									0	60.0	365	100	0.05
634646	2021-04-03	Los Angeles Angels	Chicago White Sox									0	60.0	365	100	0.05
634654	2021-04-03	Cincinnati Reds	St. Louis Cardinals									0	60.0	365	100	0.05
634557	2021-04-04	Colorado Rockies	Los Angeles Dodgers									0	60.0	365	100	0.05
634560	2021-04-04	Cincinnati Reds	St. Louis Cardinals									0	60.0	365	100	0.05
634572	2021-04-04	San Diego Padres	Arizona Diamondbacks									0	60.0	365	100	0.05
634593	2021-04-04	Kansas City Royals	Texas Rangers									0	60.0	365	100	0.05
634597	2021-04-04	Milwaukee Brewers	Minnesota Twins									0	60.0	365	100	0.05
634607	2021-04-04	New York Yankees	Toronto Blue Jays									0	60.0	365	100	0.05
634610	2021-04-04	Boston Red Sox	Baltimore Orioles									0	60.0	365	100	0.05
634611	2021-04-04	Detroit Tigers	Cleveland Indians									0	60.0	365	100	0.05
634613	2021-04-04	Chicago Cubs	Pittsburgh Pirates									0	60.0	365	100	0.05
634617	2021-04-04	Philadelphia Phillies	Atlanta Braves									0	60.0	365	100	0.05
634637	2021-04-04	Los Angeles Angels	Chicago White Sox									0	60.0	365	100	0.05
634651	2021-04-04	Oakland Athletics	Houston Astros									0	60.0	365	100	0.05
634551	2021-04-05	Seattle Mariners	Chicago White Sox									0	60.0	365	100	0.05
634552	2021-04-05	Los Angeles Angels	Houston Astros									0	60.0	365	100	0.05
634558	2021-04-05	Cincinnati Reds	Pittsburgh Pirates									0	60.0	365	100	0.05
634562	2021-04-05	Miami Marlins	St. Louis Cardinals									0	60.0	365	100	0.05
634566	2021-04-05	Chicago Cubs	Milwaukee Brewers									0	60.0	365	100	0.05
634587	2021-04-05	New York Yankees	Baltimore Orioles									0	60.0	365	100	0.05
634588	2021-04-05	Detroit Tigers	Minnesota Twins									0	60.0	365	100	0.05
634591	2021-04-05	San Diego Padres	San Francisco Giants									0	60.0	365	100	0.05
634600	2021-04-05	Oakland Athletics	Los Angeles Dodgers									0	60.0	365	100	0.05
634601	2021-04-05	Boston Red Sox	Tampa Bay Rays									0	60.0	365	100	0.05
634606	2021-04-05	Philadelphia Phillies	New York Mets									0	60.0	365	100	0.05
634612	2021-04-05	Texas Rangers	Toronto Blue Jays									0	60.0	365	100	0.05
634616	2021-04-05	Cleveland Indians	Kansas City Royals									0	60.0	365	100	0.05
634529	2021-04-06	San Diego Padres	San Francisco Giants									0	60.0	365	100	0.05
634530	2021-04-06	Cincinnati Reds	Pittsburgh Pirates									0	60.0	365	100	0.05
634559	2021-04-06	Chicago Cubs	Milwaukee Brewers									0	60.0	365	100	0.05
