date	away_team	home_team	strike	yes_price	trade_time	has_closing_price	api_failed
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	3.5	0.97	2026-03-27T00:03:55.593858Z	True	False
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	4.5	0.88	2026-03-26T23:53:07.40839Z	True	False
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	5.5	0.8	2026-03-27T00:08:46.94215Z	True	False
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	6.5	0.73	2026-03-27T00:22:54.679999Z	True	False
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	7.5	0.64	2026-03-27T00:17:23.814612Z	True	False
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	8.5	0.54	2026-03-27T00:24:59.526912Z	True	False
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	9.5	0.44	2026-03-27T00:24:55.898824Z	True	False
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	10.5	0.37	2026-03-26T23:54:42.138258Z	True	False
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	11.5	0.26	2026-03-27T00:14:26.621211Z	True	False
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	12.5	0.21	2026-03-27T00:05:34.803016Z	True	False
2026-03-26	Arizona Diamondbacks	Los Angeles Dodgers	13.5	0.16	2026-03-26T23:51:26.246944Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	2.5	0.97	2026-03-26T19:59:31.420281Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	3.5	0.9	2026-03-26T19:15:58.66763Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	4.5	0.85	2026-03-26T19:54:17.417591Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	5.5	0.73	2026-03-26T20:01:04.971492Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	6.5	0.68	2026-03-26T20:03:47.510674Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	7.5	0.55	2026-03-26T20:04:57.148358Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	8.5	0.47	2026-03-26T20:04:23.931338Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	9.5	0.36	2026-03-26T19:52:32.629679Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	10.5	0.29	2026-03-26T16:54:06.828628Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	11.5	0.24	2026-03-26T19:19:47.633426Z	True	False
2026-03-26	Boston Red Sox	Cincinnati Reds	12.5	0.17	2026-03-26T20:04:34.391178Z	True	False
2026-03-26	Chicago White Sox	Milwaukee Brewers	2.5	0.99	2026-03-26T17:37:34.223637Z	True	False
2026-03-26	Chicago White Sox	Milwaukee Brewers	3.5	0.9	2026-03-26T18:01:52.815022Z	True	False
2026-03-26	Chicago White Sox	Milwaukee Brewers	4.5	0.83	2026-03-26T18:00:55.068132Z	True	False
2026-03-26	Chicago White Sox	Milwaukee Brewers	5.5	0.71	2026-03-26T18:01:34.764915Z	True	False
2026-03-26	Chicago White Sox	Milwaukee Brewers	6.5	0.64	2026-03-26T17:59:18.370695Z	True	False
