date	season	away_team_sbro	home_team_sbro	away_team	home_team	away_score	home_score	actual_total	open_total_line	close_total_line	close_total_odds
2021-04-01	2021	PIT	CUB	Pittsburgh Pirates	Chicago Cubs	5	3	8	7.0	6.5	-115
2021-04-01	2021	ATL	PHI	Atlanta Braves	Philadelphia Phillies	2	3	5	7.5	7.5	100
2021-04-01	2021	ARI	SDG	Arizona Diamondbacks	San Diego Padres	7	8	15	8.0	8.5	100
2021-04-01	2021	LAD	COL	Los Angeles Dodgers	Colorado Rockies	5	8	13	11.5	10.5	-115
2021-04-01	2021	STL	CIN	St. Louis Cardinals	Cincinnati Reds	11	6	17	7.5	7.0	-120
2021-04-01	2021	TOR	NYY	Toronto Blue Jays	New York Yankees	3	2	5	8.0	8.0	100
2021-04-01	2021	CLE	DET	Cleveland Guardians	Detroit Tigers	2	3	5	7.5	7.5	100
2021-04-01	2021	TEX	KAN	Texas Rangers	Kansas City Royals	10	14	24	9.5	8.5	100
2021-04-01	2021	CWS	LAA	Chicago White Sox	Los Angeles Angels	3	4	7	8.5	8.0	-110
2021-04-01	2021	HOU	OAK	Houston Astros	Athletics	8	1	9	8.5	8.0	-120
2021-04-01	2021	MIN	MIL	Minnesota Twins	Milwaukee Brewers	5	6	11	8.0	7.5	-105
2021-04-01	2021	TAM	MIA	Tampa Bay Rays	Miami Marlins	1	0	1	8.0	7.0	-120
2021-04-01	2021	SFO	SEA	SFO	Seattle Mariners	7	8	15	8.5	8.0	-105
2021-04-02	2021	LAD	COL	Los Angeles Dodgers	Colorado Rockies	11	6	17	11.0	12.0	-105
2021-04-02	2021	ARI	SDG	Arizona Diamondbacks	San Diego Padres	2	4	6	8.5	8.0	-105
2021-04-02	2021	CWS	LAA	Chicago White Sox	Los Angeles Angels	12	8	20	8.5	8.5	-115
2021-04-02	2021	HOU	OAK	Houston Astros	Athletics	9	5	14	8.5	8.5	-105
2021-04-02	2021	TAM	MIA	Tampa Bay Rays	Miami Marlins	6	4	10	7.5	7.5	105
2021-04-02	2021	SFO	SEA	SFO	Seattle Mariners	6	3	9	8.5	8.5	-105
2021-04-02	2021	BAL	BOS	Baltimore Orioles	Boston Red Sox	3	0	3	9.0	9.0	-110
2021-04-03	2021	PIT	CUB	Pittsburgh Pirates	Chicago Cubs	1	5	6	11.0	11.0	-115
2021-04-03	2021	ATL	PHI	Atlanta Braves	Philadelphia Phillies	0	4	4	8.5	7.5	-120
2021-04-03	2021	STL	CIN	St. Louis Cardinals	Cincinnati Reds	6	9	15	9.0	9.0	-105
2021-04-03	2021	LAD	COL	Los Angeles Dodgers	Colorado Rockies	6	5	11	11.5	11.5	-115
2021-04-03	2021	ARI	SDG	Arizona Diamondbacks	San Diego Padres	0	7	7	8.5	8.5	-115
2021-04-03	2021	TOR	NYY	Toronto Blue Jays	New York Yankees	3	5	8	9.0	9.0	-125
2021-04-03	2021	CLE	DET	Cleveland Guardians	Detroit Tigers	2	5	7	8.5	8.0	-115
2021-04-03	2021	BAL	BOS	Baltimore Orioles	Boston Red Sox	4	2	6	10.5	10.0	-105
2021-04-03	2021	TEX	KAN	Texas Rangers	Kansas City Royals	4	11	15	9.5	9.0	-120
2021-04-03	2021	HOU	OAK	Houston Astros	Athletics	9	1	10	9.0	9.0	100
2021-04-03	2021	CWS	LAA	Chicago White Sox	Los Angeles Angels	3	5	8	8.5	9.0	-110
2021-04-03	2021	TAM	MIA	Tampa Bay Rays	Miami Marlins	7	12	19	8.0	7.5	-120
2021-04-03	2021	MIN	MIL	Minnesota Twins	Milwaukee Brewers	2	0	2	8.0	7.5	100
2021-04-03	2021	SFO	SEA	SFO	Seattle Mariners	0	4	4	9.0	9.0	100
2021-04-04	2021	ATL	PHI	Atlanta Braves	Philadelphia Phillies	1	2	3	8.5	8.5	-110
2021-04-04	2021	STL	CIN	St. Louis Cardinals	Cincinnati Reds	1	12	13	9.5	9.5	-120
2021-04-04	2021	PIT	CUB	Pittsburgh Pirates	Chicago Cubs	3	4	7	8.5	8.5	-105
2021-04-04	2021	LAD	COL	Los Angeles Dodgers	Colorado Rockies	4	2	6	12.0	12.0	-105
2021-04-04	2021	ARI	SDG	Arizona Diamondbacks	San Diego Padres	3	1	4	9.5	9.0	-110
2021-04-04	2021	TOR	NYY	Toronto Blue Jays	New York Yankees	3	1	4	9.5	9.5	-110
2021-04-04	2021	CLE	DET	Cleveland Guardians	Detroit Tigers	9	3	12	8.5	8.0	100
2021-04-04	2021	BAL	BOS	Baltimore Orioles	Boston Red Sox	11	3	14	10.0	9.5	-110
2021-04-04	2021	TEX	KAN	Texas Rangers	Kansas City Royals	7	3	10	9.5	10.0	-110
2021-04-04	2021	HOU	OAK	Houston Astros	Athletics	9	2	11	8.5	8.5	-110
2021-04-04	2021	CWS	LAA	Chicago White Sox	Los Angeles Angels	4	7	11	9.0	9.5	100
2021-04-04	2021	MIN	MIL	Minnesota Twins	Milwaukee Brewers	8	2	10	8.5	8.0	-115
2021-04-05	2021	STL	MIA	St. Louis Cardinals	Miami Marlins	4	1	5	8.0	8.0	-120
2021-04-05	2021	PIT	CIN	Pittsburgh Pirates	Cincinnati Reds	3	5	8	9.0	9.0	-110
