date	away_team	home_team	commence_time	snapshot_ts	requested_snapshot_ts	close_total_line	num_books	close_total_line	fanduel_line	pinnacle_line	betmgm_line	draftkings_line	actual_total	season
2022-04-07	Cleveland Guardians	Kansas City Royals	2022-04-07 20:11:00+00:00	2022-04-07 18:55:00+00:00	2022-04-07 19:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.0	4.0	2022.0
2022-04-07	Milwaukee Brewers	Chicago Cubs	2022-04-07 18:21:00+00:00	2022-04-07 15:55:00+00:00	2022-04-07 16:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.5	9.0	2022.0
2022-04-07	New York Mets	Washington Nationals	2022-04-07 23:05:00+00:00	2022-04-07 21:55:00+00:00	2022-04-07 22:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	6.0	2022.0
2022-04-07	Pittsburgh Pirates	St. Louis Cardinals	2022-04-07 20:16:00+00:00	2022-04-07 18:55:00+00:00	2022-04-07 19:00:00+00:00	8.0	3	8.0	8.0	8.0	8.0	8.0	9.0	2022.0
2022-04-08	Baltimore Orioles	Tampa Bay Rays	2022-04-08 19:11:00+00:00	2022-04-08 18:55:00+00:00	2022-04-08 19:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.5	3.0	2022.0
2022-04-08	Boston Red Sox	New York Yankees	2022-04-08 17:06:00+00:00	2022-04-08 15:55:00+00:00	2022-04-08 16:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	11.0	2022.0
2022-04-08	Chicago White Sox	Detroit Tigers	2022-04-08 17:11:00+00:00	2022-04-08 15:55:00+00:00	2022-04-08 16:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	8.0	9.0	2022.0
2022-04-08	Cincinnati Reds	Atlanta Braves	2022-04-08 23:21:00+00:00	2022-04-08 21:55:00+00:00	2022-04-08 22:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	9.0	13.0	2022.0
2022-04-08	Houston Astros	Los Angeles Angels	2022-04-08 01:39:00+00:00	2022-04-08 00:55:00+00:00	2022-04-08 01:00:00+00:00	8.75	4	8.75	8.5	9.0	8.5	9.0	19.0	2022.0
2022-04-08	Los Angeles Dodgers	Colorado Rockies	2022-04-08 20:11:00+00:00	2022-04-08 18:55:00+00:00	2022-04-08 19:00:00+00:00	11.5	4	11.5	11.5	11.5	11.0	11.5	8.0	2022.0
2022-04-08	Miami Marlins	San Francisco Giants	2022-04-08 20:36:00+00:00	2022-04-08 18:55:00+00:00	2022-04-08 19:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.5	11.0	2022.0
2022-04-08	Milwaukee Brewers	Chicago Cubs	2022-04-08 18:21:00+00:00	2022-04-08 15:55:00+00:00	2022-04-08 16:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.0		
2022-04-08	New York Mets	Washington Nationals	2022-04-08 23:06:00+00:00	2022-04-08 21:55:00+00:00	2022-04-08 22:00:00+00:00	8.75	4	8.75	9.0	9.0	8.5	8.5	10.0	2022.0
2022-04-08	Oakland Athletics	Philadelphia Phillies	2022-04-08 19:06:00+00:00	2022-04-08 18:55:00+00:00	2022-04-08 19:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	14.0	2022.0
2022-04-08	San Diego Padres	Arizona Diamondbacks	2022-04-08 01:41:00+00:00	2022-04-08 00:55:00+00:00	2022-04-08 01:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	3.0	2022.0
2022-04-08	Seattle Mariners	Minnesota Twins	2022-04-08 20:11:00+00:00	2022-04-08 18:55:00+00:00	2022-04-08 19:00:00+00:00	7.75	4	7.75	8.0	8.0	7.5	7.5	3.0	2022.0
2022-04-08	Texas Rangers	Toronto Blue Jays	2022-04-08 23:08:00+00:00	2022-04-08 21:55:00+00:00	2022-04-08 22:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	18.0	2022.0
2022-04-09	Baltimore Orioles	Tampa Bay Rays	2022-04-09 17:11:00+00:00	2022-04-09 15:55:00+00:00	2022-04-09 16:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	8.0	2022.0
2022-04-09	Boston Red Sox	New York Yankees	2022-04-09 20:06:00+00:00	2022-04-09 18:55:00+00:00	2022-04-09 19:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	6.0	2022.0
2022-04-09	Chicago White Sox	Detroit Tigers	2022-04-09 17:11:00+00:00	2022-04-09 15:55:00+00:00	2022-04-09 16:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	7.0	2022.0
2022-04-09	Cincinnati Reds	Atlanta Braves	2022-04-09 23:21:00+00:00	2022-04-09 21:55:00+00:00	2022-04-09 22:00:00+00:00	9.5	4	9.5	9.5	9.5	9.5	10.0	3.0	2022.0
2022-04-09	Cleveland Guardians	Kansas City Royals	2022-04-09 20:11:00+00:00	2022-04-09 18:55:00+00:00	2022-04-09 19:00:00+00:00	8.5	4	8.5	9.0	8.5	8.5	8.5	1.0	2022.0
2022-04-09	Houston Astros	Los Angeles Angels	2022-04-09 01:39:00+00:00	2022-04-09 00:55:00+00:00	2022-04-09 01:00:00+00:00	9.75	4	9.75	9.5	10.0	9.5	10.0	2.0	2022.0
2022-04-09	Miami Marlins	San Francisco Giants	2022-04-09 20:06:00+00:00	2022-04-09 18:55:00+00:00	2022-04-09 19:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.5	3.0	2022.0
2022-04-09	Milwaukee Brewers	Chicago Cubs	2022-04-09 18:22:00+00:00	2022-04-09 15:55:00+00:00	2022-04-09 16:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.5	9.0	2022.0
2022-04-09	New York Mets	Washington Nationals	2022-04-09 23:06:00+00:00	2022-04-09 21:55:00+00:00	2022-04-09 22:00:00+00:00	9.25	4	9.25	9.5	9.0	9.5	9.0	5.0	2022.0
2022-04-09	Oakland Athletics	Philadelphia Phillies	2022-04-09 20:06:00+00:00	2022-04-09 18:55:00+00:00	2022-04-09 19:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.5	6.0	2022.0
2022-04-09	Pittsburgh Pirates	St. Louis Cardinals	2022-04-09 18:16:00+00:00	2022-04-09 15:55:00+00:00	2022-04-09 16:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	8.0	2022.0
2022-04-09	San Diego Padres	Arizona Diamondbacks	2022-04-09 01:41:00+00:00	2022-04-09 00:55:00+00:00	2022-04-09 01:00:00+00:00	8.75	4	8.75	8.5	9.0	9.0	8.5	7.0	2022.0
