date	game_id	away_team	home_team	predicted_total	prediction_std	kalshi_line	kalshi_yes_price	kalshi_side	kalshi_side_market_prob	kalshi_fair_price_pct	kalshi_edge_pct	bet_amount	bet_contracts	risked_amount	bet_pct_bankroll	actual_total	won	result	pnl_dollars	roi_pct	bankroll_before	bankroll_after	skip_reason	settled
2026-04-01	822835	Colorado Rockies	Toronto Blue Jays	9.41	4.578	7.5	0.48	OVER	48.0	66.2	18.2	500.0	1041.6667	500.0	5.0	3.0	False	loss	-500.0	-100.0	10000.0	9500.0		True
2026-04-01	823078	New York Mets	St. Louis Cardinals	9.49	4.581	7.5	0.5	OVER	50.0	66.8	16.8	500.0	1000.0	500.0	5.263	3.0	False	loss	-500.0	-100.0	9500.0	9000.0		True
2026-04-01	823483	Washington Nationals	Philadelphia Phillies	11.11	4.893	7.5	0.53		53.0	77.0	24.0	0.0	0.0	0.0	0.0	11.0		no_bet	0.0	0.0	9000.0	9000.0	line_diff_too_large	False
2026-04-01	823806	Tampa Bay Rays	Milwaukee Brewers	8.0	4.54	7.5	0.44		44.0	54.4	10.4	0.0	0.0	0.0	0.0	10.0		no_bet	0.0	0.0	9000.0	9000.0	confidence_below_threshold	False
2026-04-01	823889	Chicago White Sox	Miami Marlins	9.89	4.668	7.5	0.47	OVER	47.0	69.5	22.5	500.0	1063.8298	500.0	5.556	10.0	True	win	563.83	112.77	9000.0	9563.83		True
2026-04-01	823970	Cleveland Guardians	Los Angeles Dodgers	10.65	4.812	7.5	0.53		53.0	74.3	21.3	0.0	0.0	0.0	0.0	5.0		no_bet	0.0	0.0	9563.83	9563.83	line_diff_too_large	False
2026-04-01	824211	Boston Red Sox	Houston Astros	8.83	4.477	7.5	0.45	OVER	45.0	61.7	16.7	455.0	1011.1111	455.0	4.758	10.0	True	win	556.11	122.22	9563.83	10119.94		True
2026-04-01	824536	Pittsburgh Pirates	Cincinnati Reds	9.56	4.506	9.5	0.51		49.0	50.5	-0.5	0.0	0.0	0.0	0.0	11.0		no_bet	0.0	0.0	10119.94	10119.94	edge_below_threshold	False
2026-04-01	824698	Los Angeles Angels	Chicago Cubs	7.69	4.457	5.5	0.54	OVER	54.0	68.9	14.9	485.0	898.1481	485.0	4.793	8.0	True	win	413.15	85.19	10119.94	10533.09		True
2026-04-01	824860	Texas Rangers	Baltimore Orioles	9.73	4.413	7.5	0.48	OVER	48.0	69.3	21.3	500.0	1041.6667	500.0	4.747	11.0	True	win	541.67	108.33	10533.09	11074.76		True
2026-04-01	824940	Athletics	Atlanta Braves	9.31	4.38	7.5	0.48	OVER	48.0	66.0	18.0	500.0	1041.6667	500.0	4.515	6.0	False	loss	-500.0	-100.0	11074.76	10574.76		True
2026-04-01	825106	Detroit Tigers	Arizona Diamondbacks	8.95	4.506	7.5	0.5	OVER	50.0	62.6	12.6	378.0	756.0	378.0	3.575	1.0	False	loss	-378.0	-100.0	10574.76	10196.76		True
2026-04-02	823242	New York Mets	San Francisco Giants	9.11	4.457	7.5	0.49	OVER	49.0	64.1	15.1	445.0	908.1633	445.0	4.364	9.0	True	win	463.16	104.08	10196.76	10659.92		True
2026-04-02	824133	Minnesota Twins	Kansas City Royals	9.16	4.471	9.5	0.48		52.0	47.0	-1.0	0.0	0.0	0.0	0.0	6.0		no_bet	0.0	0.0	10659.92	10659.92	edge_below_threshold	False
2026-04-02	825105	Atlanta Braves	Arizona Diamondbacks	9.53	4.517	8.5	0.54		54.0	59.0	5.0	0.0	0.0	0.0	0.0	19.0		no_bet	0.0	0.0	10659.92	10659.92	confidence_below_threshold	False
2026-04-03	822758	Los Angeles Dodgers	Washington Nationals	10.86	4.607	9.5	0.52	OVER	52.0	61.6	9.6	301.0	578.8462	301.0	2.824	19.0	True	win	277.85	92.31	10659.92	10937.77		True
2026-04-03	822919	Cincinnati Reds	Texas Rangers	8.04	4.423	8.5	0.45		45.0	45.8	0.8	0.0	0.0	0.0	0.0	8.0		no_bet	0.0	0.0	10937.77	10937.77	edge_below_threshold	False
2026-04-03	823240	New York Mets	San Francisco Giants	9.48	4.674	7.5	0.52	OVER	52.0	66.4	14.4	450.0	865.3846	450.0	4.114	13.0	True	win	415.38	92.31	10937.77	11353.15		True
2026-04-03	823406	Baltimore Orioles	Pittsburgh Pirates	8.87	4.362	8.5	0.52		52.0	53.4	1.4	0.0	0.0	0.0	0.0	9.0		no_bet	0.0	0.0	11353.15	11353.15	edge_below_threshold	False
2026-04-03	823568	Miami Marlins	New York Yankees	10.81	4.625	8.5	0.45	OVER	45.0	69.1	24.1	500.0	1111.1111	500.0	4.404	10.0	True	win	611.11	122.22	11353.15	11964.26		True
2026-04-03	823732	Tampa Bay Rays	Minnesota Twins	9.43	4.554	7.5	0.5	OVER	50.0	66.4	16.4	492.0	984.0	492.0	4.112	14.0	True	win	492.0	100.0	11964.26	12456.26		True
2026-04-03	824056	Seattle Mariners	Los Angeles Angels	12.29	4.892	7.5	0.54		54.0	83.6	29.6	0.0	0.0	0.0	0.0	4.0		no_bet	0.0	0.0	12456.26	12456.26	line_diff_too_large	False
2026-04-03	824299	St. Louis Cardinals	Detroit Tigers	9.38	4.406	7.5	0.54	OVER	54.0	66.5	12.5	407.0	753.7037	407.0	3.267	4.0	False	loss	-407.0	-100.0	12456.26	12049.26		True
2026-04-03	824377	Philadelphia Phillies	Colorado Rockies	10.43	4.865	10.5	0.49		49.0	49.4	0.4	0.0	0.0	0.0	0.0	11.0		no_bet	0.0	0.0	12049.26	12049.26	edge_below_threshold	False
2026-04-03	824458	Chicago Cubs	Cleveland Guardians	7.53	4.439	7.5	0.48		48.0	50.3	2.3	0.0	0.0	0.0	0.0	5.0		no_bet	0.0	0.0	12049.26	12049.26	edge_below_threshold	False
2026-04-03	824621	Toronto Blue Jays	Chicago White Sox	8.87	4.548							0.0	0.0	0.0	0.0	9.0		no_bet	0.0	0.0	12049.26	12049.26	no_kalshi	False
2026-04-03	824786	San Diego Padres	Boston Red Sox	8.81	4.477	8.5	0.46		46.0	52.8	6.8	0.0	0.0	0.0	0.0	7.0		no_bet	0.0	0.0	12049.26	12049.26	confidence_below_threshold	False
2026-04-03	825026	Houston Astros	Athletics	10.75	4.623	9.5	0.54	OVER	54.0	60.6	6.6	216.0	400.0	216.0	1.793	15.0	True	win	184.0	85.19	12049.26	12233.26		True
2026-04-03	825103	Atlanta Braves	Arizona Diamondbacks	9.98	4.807	9.5	0.47		47.0	54.0	7.0	0.0	0.0	0.0	0.0	2.0		no_bet	0.0	0.0	12233.26	12233.26	confidence_below_threshold	False
2026-04-04	822757	Los Angeles Dodgers	Washington Nationals	11.46	4.713	9.5	0.51	OVER	51.0	66.1	15.1	462.0	905.8824	462.0	3.777	15.0	True	win	443.88	96.08	12233.26	12677.14		True
2026-04-04	822920	Cincinnati Reds	Texas Rangers	8.57	4.445	8.5	0.52		48.0	50.7	-1.3	0.0	0.0	0.0	0.0	2.0		no_bet	0.0	0.0	12677.14	12677.14	edge_below_threshold	False
2026-04-04	823239	New York Mets	San Francisco Giants	10.54	4.581	7.5	0.52		52.0	74.7	22.7	0.0	0.0	0.0	0.0	9.0		no_bet	0.0	0.0	12677.14	12677.14	line_diff_too_large	False
2026-04-04	823404	Baltimore Orioles	Pittsburgh Pirates	7.87	4.47	3.5	0.25		25.0	83.6	58.6	0.0	0.0	0.0	0.0	5.0		no_bet	0.0	0.0	12677.14	12677.14	line_diff_too_large	False
2026-04-04	823569	Miami Marlins	New York Yankees	9.25	4.521	7.5	0.47	OVER	47.0	65.1	18.1	500.0	1063.8298	500.0	3.944	16.0	True	win	563.83	112.77	12677.14	13240.97		True
2026-04-04	823730	Tampa Bay Rays	Minnesota Twins	9.19	4.47	7.5	0.52	OVER	52.0	64.7	12.7	397.0	763.4615	397.0	2.998	8.0	True	win	366.46	92.31	13240.97	13607.43		True
2026-04-04	824054	Seattle Mariners	Los Angeles Angels	12.84	4.943	9.5	0.5		50.0	75.1	25.1	0.0	0.0	0.0	0.0	1.0		no_bet	0.0	0.0	13607.43	13607.43	line_diff_too_large	False
2026-04-04	824132	Milwaukee Brewers	Kansas City Royals	8.56	4.651	8.5	0.5		50.0	50.5	0.5	0.0	0.0	0.0	0.0	7.0		no_bet	0.0	0.0	13607.43	13607.43	edge_below_threshold	False
2026-04-04	824134	Milwaukee Brewers	Kansas City Royals	8.52	4.57	8.5	0.5		50.0	50.2	0.2	0.0	0.0	0.0	0.0	10.0		no_bet	0.0	0.0	13607.43	13607.43	edge_below_threshold	False
2026-04-04	824295	St. Louis Cardinals	Detroit Tigers	8.15	4.436	7.5	0.5		50.0	55.9	5.9	0.0	0.0	0.0	0.0	17.0		no_bet	0.0	0.0	13607.43	13607.43	confidence_below_threshold	False
2026-04-04	824378	Philadelphia Phillies	Colorado Rockies	9.05	4.639	10.5	0.48	UNDER	52.0	37.8	-10.2	320.0	615.3846	320.0	2.352	3.0	True	win	295.38	92.31	13607.43	13902.82		True
2026-04-04	824622	Toronto Blue Jays	Chicago White Sox	9.0	4.783	8.5	0.5		50.0	54.2	4.2	0.0	0.0	0.0	0.0	9.0		no_bet	0.0	0.0	13902.82	13902.82	edge_below_threshold	False
2026-04-04	824782	San Diego Padres	Boston Red Sox	8.29	4.498	7.5	0.5		50.0	57.0	7.0	0.0	0.0	0.0	0.0	5.0		no_bet	0.0	0.0	13902.82	13902.82	confidence_below_threshold	False
2026-04-04	825027	Houston Astros	Athletics	10.66	4.803	9.5	0.52		52.0	59.5	7.5	0.0	0.0	0.0	0.0	11.0		no_bet	0.0	0.0	13902.82	13902.82	confidence_below_threshold	False
2026-04-04	825104	Atlanta Braves	Arizona Diamondbacks	8.38	4.517	9.5	0.49		51.0	40.2	-8.8	0.0	0.0	0.0	0.0	3.0		no_bet	0.0	0.0	13902.82	13902.82	confidence_below_threshold	False
2026-04-05	822756	Los Angeles Dodgers	Washington Nationals	11.58	4.748	8.5	0.54		54.0	74.2	20.2	0.0	0.0	0.0	0.0	14.0		no_bet	0.0	0.0	13902.82	13902.82	line_diff_too_large	False
2026-04-05	822917	Cincinnati Reds	Texas Rangers	8.29	4.445	7.5	0.48		48.0	57.0	9.0	0.0	0.0	0.0	0.0	3.0		no_bet	0.0	0.0	13902.82	13902.82	confidence_below_threshold	False
2026-04-05	823238	New York Mets	San Francisco Giants	9.92	4.828	7.5	0.44	OVER	44.0	69.2	25.2	500.0	1136.3636	500.0	3.596	7.0	False	loss	-500.0	-100.0	13902.82	13402.82		True
2026-04-05	823405	Baltimore Orioles	Pittsburgh Pirates	7.97	4.475	8.5	0.48		52.0	45.2	-2.8	0.0	0.0	0.0	0.0	10.0		no_bet	0.0	0.0	13402.82	13402.82	edge_below_threshold	False
2026-04-05	823566	Miami Marlins	New York Yankees	9.37	4.71	8.5	0.49		49.0	57.3	8.3	0.0	0.0	0.0	0.0	13.0		no_bet	0.0	0.0	13402.82	13402.82	confidence_below_threshold	False
2026-04-05	823729	Tampa Bay Rays	Minnesota Twins	8.92	4.49	8.5	0.45		45.0	53.7	8.7	0.0	0.0	0.0	0.0	5.0		no_bet	0.0	0.0	13402.82	13402.82	confidence_below_threshold	False
2026-04-05	824053	Seattle Mariners	Los Angeles Angels	11.72	5.066	9.5	0.47	OVER	47.0	67.0	20.0	500.0	1063.8298	500.0	3.731	15.0	True	win	563.83	112.77	13402.82	13966.65		True
2026-04-05	824131	Milwaukee Brewers	Kansas City Royals	9.27	4.602	7.5	0.5	OVER	50.0	64.9	14.9	448.0	896.0	448.0	3.208	13.0	True	win	448.0	100.0	13966.65	14414.65		True
2026-04-05	824296	St. Louis Cardinals	Detroit Tigers	7.9	4.453	7.5	0.54		46.0	53.6	-0.4	0.0	0.0	0.0	0.0	8.0		no_bet	0.0	0.0	14414.65	14414.65	edge_below_threshold	False
2026-04-05	824379	Philadelphia Phillies	Colorado Rockies	10.79	4.802	11.5	0.49		51.0	44.2	-4.8	0.0	0.0	0.0	0.0	5.0		no_bet	0.0	0.0	14414.65	14414.65	edge_below_threshold	False
2026-04-05	824459	Chicago Cubs	Cleveland Guardians	7.57	4.464	7.5	0.48		48.0	50.6	2.6	0.0	0.0	0.0	0.0	1.0		no_bet	0.0	0.0	14414.65	14414.65	edge_below_threshold	False
