min_kalshi_edge_pct	min_kalshi_confidence_pct	kelly_fraction	max_bet_pct	bets_placed	wins	losses	win_rate_pct	roi_pct	total_pnl	avg_edge_pct	avg_bet_amount	final_bankroll	bankroll_return_pct	max_drawdown_pct
6.0	57.5	0.1	0.0	82	50	32	61.0	27.52	6932.06	12.19	307.16	16932.08	69.32	-9.12
6.0	57.5	0.25	0.0	82	50	32	61.0	27.51	17322.22	12.19	767.91	27322.23	173.22	-20.74
6.0	57.5	0.15	0.0	82	50	32	61.0	27.51	10394.56	12.19	460.78	20394.54	103.95	-12.44
6.0	57.5	0.05	5.0	82	50	32	61.0	27.49	3462.44	12.19	153.62	13462.43	34.62	-5.46
6.0	57.5	0.05	0.0	82	50	32	61.0	27.49	3462.44	12.19	153.62	13462.43	34.62	-5.46
0.0	57.5	0.1	0.0	87	53	34	60.9	27.29	7029.12	11.43	296.05	17029.14	70.29	-9.19
2.0	57.5	0.1	0.0	87	53	34	60.9	27.29	7029.12	11.43	296.05	17029.14	70.29	-9.19
4.0	57.5	0.1	0.0	87	53	34	60.9	27.29	7029.12	11.43	296.05	17029.14	70.29	-9.19
0.0	57.5	0.25	0.0	87	53	34	60.9	27.28	17564.52	11.43	740.11	27564.53	175.65	-20.74
2.0	57.5	0.25	0.0	87	53	34	60.9	27.28	17564.52	11.43	740.11	27564.53	175.65	-20.74
4.0	57.5	0.25	0.0	87	53	34	60.9	27.28	17564.52	11.43	740.11	27564.53	175.65	-20.74
0.0	57.5	0.15	0.0	87	53	34	60.9	27.28	10539.8	11.43	444.09	20539.78	105.4	-12.44
2.0	57.5	0.15	0.0	87	53	34	60.9	27.28	10539.8	11.43	444.09	20539.78	105.4	-12.44
4.0	57.5	0.15	0.0	87	53	34	60.9	27.28	10539.8	11.43	444.09	20539.78	105.4	-12.44
0.0	57.5	0.05	5.0	87	53	34	60.9	27.26	3510.61	11.43	148.05	13510.6	35.11	-5.49
0.0	57.5	0.05	0.0	87	53	34	60.9	27.26	3510.61	11.43	148.05	13510.6	35.11	-5.49
2.0	57.5	0.05	5.0	87	53	34	60.9	27.26	3510.61	11.43	148.05	13510.6	35.11	-5.49
2.0	57.5	0.05	0.0	87	53	34	60.9	27.26	3510.61	11.43	148.05	13510.6	35.11	-5.49
4.0	57.5	0.05	5.0	87	53	34	60.9	27.26	3510.61	11.43	148.05	13510.6	35.11	-5.49
4.0	57.5	0.05	0.0	87	53	34	60.9	27.26	3510.61	11.43	148.05	13510.6	35.11	-5.49
4.0	52.0	0.1	0.0	113	70	43	61.9	27.21	7919.51	9.53	257.53	17919.54	79.2	-10.6
4.0	52.0	0.25	0.0	113	70	43	61.9	27.2	19788.17	9.53	643.81	29788.19	197.88	-20.74
4.0	52.0	0.15	0.0	113	70	43	61.9	27.2	11874.06	9.53	386.29	21874.04	118.74	-13.49
4.0	52.0	0.05	5.0	113	70	43	61.9	27.18	3955.32	9.53	128.79	13955.3	39.55	-6.45
