team_id	game_id	date	season	ab	pa	so	bb	obp	slg	ops	k_pct	bb_pct
108	634655	2021-04-01	2021	30	34	10	4	0.294	0.3	0.594	0.2941	0.1176
108	634631	2021-04-02	2021	35	40	12	5	0.325	0.486	0.811	0.3	0.125
108	634646	2021-04-03	2021	33	35	11	2	0.314	0.424	0.738	0.3143	0.0571
108	634637	2021-04-04	2021	33	41	5	5	0.4	0.576	0.976	0.122	0.122
108	634552	2021-04-05	2021	34	41	3	5	0.39	0.382	0.772	0.0732	0.122
108	634586	2021-04-06	2021	32	33	6	1	0.242	0.344	0.586	0.1818	0.0303
108	634545	2021-04-08	2021	43	47	11	3	0.304	0.419	0.723	0.234	0.0638
108	634512	2021-04-09	2021	36	42	7	5	0.357	0.472	0.829	0.1667	0.119
108	632227	2021-04-10	2021	31	34	10	3	0.265	0.355	0.62	0.2941	0.0882
108	632197	2021-04-12	2021	39	42	12	3	0.405	0.513	0.918	0.2857	0.0714
108	632210	2021-04-13	2021	37	40	9	2	0.35	0.405	0.755	0.225	0.05
108	634495	2021-04-14	2021	34	37	8	1	0.243	0.265	0.508	0.2162	0.027
108	634526	2021-04-16	2021	35	37	7	2	0.378	0.543	0.921	0.1892	0.0541
108	634536	2021-04-19	2021	34	36	10	2	0.306	0.382	0.688	0.2778	0.0556
108	634398	2021-04-20	2021	30	34	8	3	0.324	0.633	0.957	0.2353	0.0882
108	634430	2021-04-21	2021	36	37	8	0	0.297	0.611	0.908	0.2162	0.0
108	634438	2021-04-22	2021	35	39	15	2	0.308	0.343	0.651	0.3846	0.0513
108	634383	2021-04-23	2021	41	42	11	1	0.333	0.415	0.748	0.2619	0.0238
108	634366	2021-04-24	2021	30	31	5	0	0.194	0.367	0.561	0.1613	0.0
108	634403	2021-04-25	2021	34	38	7	2	0.289	0.353	0.642	0.1842	0.0526
108	634377	2021-04-26	2021	43	46	4	3	0.413	0.651	1.064	0.087	0.0652
108	634359	2021-04-27	2021	36	37	5	1	0.297	0.361	0.658	0.1351	0.027
108	634350	2021-04-28	2021	33	35	10	2	0.257	0.242	0.499	0.2857	0.0571
108	634287	2021-04-30	2021	32	34	3	1	0.206	0.344	0.55	0.0882	0.0294
108	634272	2021-05-01	2021	38	42	5	3	0.39	0.684	1.074	0.119	0.0714
108	634340	2021-05-02	2021	30	35	5	3	0.286	0.2	0.486	0.1429	0.0857
108	634334	2021-05-03	2021	29	34	11	5	0.324	0.483	0.807	0.3235	0.1471
108	634267	2021-05-04	2021	32	35	12	3	0.257	0.313	0.57	0.3429	0.0857
108	634281	2021-05-05	2021	30	37	7	3	0.361	0.267	0.628	0.1892	0.0811
108	634247	2021-05-06	2021	32	33	10	1	0.242	0.375	0.617	0.303	0.0303
108	634213	2021-05-07	2021	36	38	5	1	0.395	0.722	1.117	0.1316	0.0263
108	634262	2021-05-08	2021	37	42	8	4	0.357	0.405	0.762	0.1905	0.0952
108	634205	2021-05-09	2021	29	32	12	3	0.281	0.241	0.522	0.375	0.0938
108	634181	2021-05-10	2021	35	42	11	5	0.35	0.514	0.864	0.2619	0.119
108	634156	2021-05-11	2021	28	30	10	2	0.167	0.214	0.381	0.3333	0.0667
108	634172	2021-05-12	2021	32	34	6	1	0.206	0.219	0.425	0.1765	0.0294
108	634138	2021-05-14	2021	33	33	12	0	0.182	0.333	0.515	0.3636	0.0
108	634095	2021-05-15	2021	29	36	8	7	0.306	0.138	0.444	0.2222	0.1944
108	634100	2021-05-16	2021	36	40	10	2	0.325	0.417	0.742	0.25	0.05
108	634101	2021-05-17	2021	34	38	10	4	0.368	0.471	0.839	0.2632	0.1053
108	634102	2021-05-18	2021	33	35	7	2	0.257	0.515	0.772	0.2	0.0571
108	634029	2021-05-19	2021	31	33	10	2	0.212	0.355	0.567	0.303	0.0606
108	634465	2021-05-20	2021	27	29	3	2	0.414	0.704	1.118	0.1034	0.069
108	634441	2021-05-20	2021	24	26	12	2	0.192	0.292	0.484	0.4615	0.0769
108	634028	2021-05-21	2021	33	36	12	3	0.278	0.515	0.793	0.3333	0.0833
108	634000	2021-05-22	2021	32	33	10	1	0.182	0.25	0.432	0.303	0.0303
108	633985	2021-05-23	2021	29	38	10	5	0.405	0.414	0.819	0.2632	0.1316
108	633972	2021-05-25	2021	35	39	8	4	0.41	0.629	1.039	0.2051	0.1026
108	633940	2021-05-26	2021	33	37	9	3	0.417	0.636	1.053	0.2432	0.0811
108	633964	2021-05-27	2021	29	30	9	1	0.1	0.103	0.203	0.3	0.0333
108	634006	2021-05-28	2021	30	34	10	3	0.273	0.233	0.506	0.2941	0.0882
108	633929	2021-05-29	2021	36	38	11	2	0.289	0.333	0.622	0.2895	0.0526
108	633889	2021-05-30	2021	35	38	5	2	0.27	0.371	0.641	0.1316	0.0526
108	633897	2021-05-31	2021	31	34	6	1	0.265	0.29	0.555	0.1765	0.0294
108	633864	2021-06-01	2021	34	40	7	5	0.35	0.294	0.644	0.175	0.125
108	633832	2021-06-03	2021	33	36	10	3	0.25	0.394	0.644	0.2778	0.0833
