game_id	date	hp_umpire	total_runs
634642	2021-04-01	Mark Carlson	5.0
634645	2021-04-01	Greg Gibson	5.0
634638	2021-04-01	Kerwin Danley	11.0
634634	2021-04-01	Mark Wegner	8.0
634622	2021-04-01	Bill Miller	5.0
634615	2021-04-01	Bill Welke	13.0
634618	2021-04-01	Ted Barrett	15.0
634636	2021-04-01	Jim Reynolds	17.0
634630	2021-04-01	Jerry Meals	24.0
634652	2021-04-01	Jerry Layne	1.0
634655	2021-04-01	Larry Vanover	7.0
634640	2021-04-01	Brian Gorman	9.0
634625	2021-04-01	Jeff Nelson	15.0
634627	2021-04-02	Joe West	3.0
634602	2021-04-02	Hunter Wendelstedt	10.0
634578	2021-04-02	Laz Diaz	9.0
634653	2021-04-02	Chris Conroy	17.0
634605	2021-04-02	Adrian Johnson	14.0
634576	2021-04-02	Angel Hernandez	6.0
634631	2021-04-02	Marvin Hudson	20.0
634629	2021-04-03	Dan Bellino	10.0
634644	2021-04-03	James Hoye	8.0
634577	2021-04-03	Ron Kulpa	6.0
634573	2021-04-03	Lance Barksdale	7.0
634604	2021-04-03	Ed Hickox	15.0
634643	2021-04-03	Chris Guccione	6.0
634580	2021-04-03	Doug Eddings	4.0
634596	2021-04-03	Mike Estabrook	19.0
634575	2021-04-03	CB Bucknor	2.0
634633	2021-04-03	Pat Hoberg	11.0
634623	2021-04-03	Stu Scheurwater	7.0
634646	2021-04-03	David Rackley	8.0
634639	2021-04-03	Tripp Gibson	4.0
634654	2021-04-03	Tony Randazzo	15.0
634617	2021-04-04	Brian Knight	3.0
634611	2021-04-04	Ryan Additon	12.0
634593	2021-04-04	Vic Carapazza	10.0
634607	2021-04-04	Jordan Baker	4.0
634560	2021-04-04	Todd Tichenor	13.0
634610	2021-04-04	Bruce Dreckman	14.0
634597	2021-04-04	Chad Fairchild	10.0
634613	2021-04-04	Ramon De Jesus	7.0
634572	2021-04-04	Jose Navas	4.0
634637	2021-04-04	Edwin Moscoso	11.0
634557	2021-04-04	Ben May	6.0
634651	2021-04-04	Sean Barber	11.0
634606	2021-04-05	Brian O'Nora	8.0
634562	2021-04-05	Quinn Wolcott	5.0
634588	2021-04-05	Adam Hamari	21.0
634612	2021-04-05	Jansen Visconti	8.0
634587	2021-04-05	Sam Holbrook	7.0
634616	2021-04-05	Chad Whitson	3.0
634601	2021-04-05	Dan Iassogna	13.0
634552	2021-04-05	Ted Barrett	13.0
634600	2021-04-05	Brian Gorman	13.0
634591	2021-04-05	Larry Vanover	5.0
634551	2021-04-05	Manny Gonzalez	6.0
634566	2021-04-05	Alan Porter	8.0
634558	2021-04-05	Will Little	8.0
634608	2021-04-06	D.J. Reyburn	12.0
634594	2021-04-06	Jerry Layne	6.0
634603	2021-04-06	Kerwin Danley	7.0
634624	2021-04-06	Alfonso Márquez	11.0
634586	2021-04-06	Angel Hernandez	6.0
634599	2021-04-06	Marty Foster	9.0
634530	2021-04-06	Greg Gibson	15.0
634559	2021-04-06	Mark Wegner	4.0
634619	2021-04-06	Bill Welke	18.0
634628	2021-04-06	Adrian Johnson	6.0
634529	2021-04-06	Marvin Hudson	4.0
634609	2021-04-06	Jeff Nelson	14.0
634590	2021-04-06	Andy Fletcher	11.0
634635	2021-04-06	Jerry Meals	11.0
634549	2021-04-07	Chris Guccione	6.0
634527	2021-04-07	Lance Barrett	13.0
634595	2021-04-07	Brennan Miller	2.0
634570	2021-04-07	Lance Barksdale	15.0
634589	2021-04-07	Jim Reynolds	6.0
634641	2021-04-07	Scott Barry	11.0
634598	2021-04-07	CB Bucknor	5.0
634567	2021-04-07	Dan Bellino	7.0
634626	2021-04-07	Ryan Blakney	10.0
634563	2021-04-07	Rob Drake	5.0
634592	2021-04-07	Nick Mahrley	12.0
634585	2021-04-07	Tim Timmons	7.0
634539	2021-04-07	Jim Wolf	7.0
634542	2021-04-07	Chris Conroy	8.0
634583	2021-04-07	Ed Hickox	3.0
634544	2021-04-08	Jeremie Rehak	10.0
634584	2021-04-08	Ron Kulpa	5.0
634555	2021-04-08	Ryan Additon	6.0
634545	2021-04-08	Erich Bacchus	12.0
634564	2021-04-08	Pat Hoberg	10.0
634568	2021-04-08	Roberto Ortiz	4.0
634546	2021-04-08	Stu Scheurwater	8.0
634550	2021-04-08	Laz Diaz	12.0
634565	2021-04-08	Tony Randazzo	6.0
634512	2021-04-09	Quinn Wolcott	8.0
634499	2021-04-09	Mike Muchlinski	15.0
634533	2021-04-09	Sean Barber	1.0
634534	2021-04-09	Carlos Torres	9.0
634494	2021-04-09	Ben May	4.0
