date	away_team	home_team	total_runs	predicted_total	prediction_std	high_tail_prob_9p5	low_tail_prob_7p5	date_str	close_total_line	num_books	line_source	snapshot_ts	requested_snapshot_ts	commence_time	pinnacle_line	draftkings_line	fanduel_line	betmgm_line	actual_total	entry_total_line	hours_to_first_pitch	market_adjusted_total	market_adjustment_method	market_shrink_fraction	p_over	p_under	edge	abs_edge	confidence	bet	actual_over_entry	bet_won_entry	closing_total_line	open_total_line	closing_line_source	closing_num_books	closing_snapshot_ts	closing_commence_time	selection_reason	close_move	clv_runs	beat_close	matched_closing_line	actual_over_close	evaluation_month
2022-07-01	Kansas City Royals	Detroit Tigers	4	7.383474932715746	4.8877344	0.36846527457237244	0.46066950784471933	2022-07-01	8.5	4	oddsapi_snapshot	2022-07-01 21:55:00+00:00	2022-07-01 22:00:00+00:00	2022-07-01 23:11:00+00:00	8.5	8.5	8.5	8.5	4	8.5	1.2666666666666666	7.3973481768351395	edge_model	0.0	0.41075794621026895	0.589242053789731	-1.1026518231648605	1.1026518231648605	0.589242053789731	UNDER	False	True	8.5		oddsapi	4.0	2022-07-01 21:55:00+00:00	2022-07-01 23:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
2022-07-01	Miami Marlins	Washington Nationals	9	8.47973876432674	4.680499	0.3740428566932678	0.44530711994913524	2022-07-01	9.0	4	oddsapi_snapshot	2022-07-01 18:55:00+00:00	2022-07-01 19:00:00+00:00	2022-07-01 22:06:00+00:00	9.0	9.0	9.0	9.5	9	9.0	3.183333333333333	8.172132764678443	edge_model	0.0	0.42980295566502463	0.5701970443349753	-0.8278672353215573	0.8278672353215573	0.5701970443349753	UNDER	False	True	9.5		oddsapi	4.0	2022-07-01 21:55:00+00:00	2022-07-01 22:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.5	-0.5	False	True	0.0	2022-07
2022-07-01	Oakland Athletics	Seattle Mariners	4	7.838598452084482	4.6805987	0.37419699430465697	0.46194291339662974	2022-07-01	7.5	4	oddsapi_snapshot	2022-07-01 00:55:00+00:00	2022-07-01 01:00:00+00:00	2022-07-01 02:11:00+00:00	7.0	7.5	7.5	7.5	4	7.5	1.2666666666666666	6.444077093129057	edge_model	0.0	0.41075794621026895	0.589242053789731	-1.0559229068709426	1.0559229068709426	0.589242053789731	UNDER	False	True	7.5		oddsapi	4.0	2022-07-01 00:55:00+00:00	2022-07-01 02:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
2022-07-01	San Diego Padres	Los Angeles Dodgers	6	7.783575191995225	4.7214246	0.3757089912891388	0.45622515903261607	2022-07-01	8.0	4	oddsapi_snapshot	2022-07-01 00:55:00+00:00	2022-07-01 01:00:00+00:00	2022-07-01 02:11:00+00:00	8.0	8.0	7.5	8.0	6	8.0	1.2666666666666666	7.164894031739504	edge_model	0.0	0.42980295566502463	0.5701970443349753	-0.8351059682604962	0.8351059682604962	0.5701970443349753	UNDER	False	True	8.0		oddsapi	4.0	2022-07-01 00:55:00+00:00	2022-07-01 02:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
2022-07-02	Baltimore Orioles	Minnesota Twins	7	9.351427666793537	4.789364	0.4719200611114502	0.3901588641240925	2022-07-02	9.0	4	oddsapi_snapshot	2022-07-02 15:55:00+00:00	2022-07-02 16:00:00+00:00	2022-07-02 18:11:00+00:00	9.0	9.0	9.0	9.0	7	9.0	2.2666666666666666	10.200462646902414	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.2004626469024142	1.2004626469024142	0.5989583333333331	OVER	False	False	9.0		oddsapi	4.0	2022-07-02 18:55:00+00:00	2022-07-02 19:15:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
2022-07-02	Chicago White Sox	San Francisco Giants	8	8.206921155491859	4.6096845	0.3786708116531372	0.43837082014826245	2022-07-02	7.0	4	oddsapi_snapshot	2022-07-02 18:55:00+00:00	2022-07-02 19:00:00+00:00	2022-07-02 20:06:00+00:00	7.0	7.0	7.0	7.0	8	7.0	1.1833333333333333	7.7721817259465285	edge_model	0.0	0.5665167605170317	0.4334832394829683	0.7721817259465285	0.7721817259465285	0.5665167605170317	OVER	True	True	7.0		oddsapi	4.0	2022-07-02 18:55:00+00:00	2022-07-02 20:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-02	Kansas City Royals	Detroit Tigers	7	7.536099383297787	4.831707	0.37300947308540344	0.4643227838113636	2022-07-02	9.0	4	oddsapi_snapshot	2022-07-02 18:55:00+00:00	2022-07-02 19:00:00+00:00	2022-07-02 20:11:00+00:00	9.0	9.0	9.0	9.0	7	9.0	1.2666666666666666	8.14538773517333	edge_model	0.0	0.42980295566502463	0.5701970443349753	-0.8546122648266703	0.8546122648266703	0.5701970443349753	UNDER	False	True	9.0		oddsapi	4.0	2022-07-02 18:55:00+00:00	2022-07-02 20:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
2022-07-02	New York Yankees	Cleveland Guardians	17	9.200645729616955	4.8956094	0.46892557144165037	0.3957026325300068	2022-07-02	8.5	3	oddsapi_snapshot	2022-07-02 18:55:00+00:00	2022-07-02 19:00:00+00:00	2022-07-02 22:11:00+00:00		8.5	8.5	8.5	17	8.5	3.2666666666666666	9.727093276592692	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.2270932765926919	1.2270932765926919	0.5989583333333331	OVER	True	True	8.5		oddsapi	4.0	2022-07-02 15:55:00+00:00	2022-07-02 16:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-02	Oakland Athletics	Seattle Mariners	3	7.861598558570309	4.838316	0.37715924382209776	0.45829316006449167	2022-07-02	7.5	4	oddsapi_snapshot	2022-07-02 18:55:00+00:00	2022-07-02 19:00:00+00:00	2022-07-02 20:11:00+00:00	7.5	7.5	7.5	7.5	3	7.5	1.2666666666666666	6.644218769247296	edge_model	0.0	0.42980295566502463	0.5701970443349753	-0.8557812307527044	0.8557812307527044	0.5701970443349753	UNDER	False	True	8.0		oddsapi	4.0	2022-07-02 00:55:00+00:00	2022-07-02 02:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.5	-0.5	False	True	0.0	2022-07
2022-07-02	Texas Rangers	New York Mets	10	10.135860655644617	4.7902184	0.4837672710418701	0.3948759578302235	2022-07-02	8.75	4	oddsapi_snapshot	2022-07-02 18:55:00+00:00	2022-07-02 19:00:00+00:00	2022-07-02 20:11:00+00:00	8.5	9.0	8.5	9.0	10	8.75	1.2666666666666666	9.950676826902704	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.2006768269027042	1.2006768269027042	0.5989583333333331	OVER	True	True	8.75		oddsapi	4.0	2022-07-02 18:55:00+00:00	2022-07-02 20:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-03	Atlanta Braves	Cincinnati Reds	7	10.26418446564156	4.784117	0.46817952394485474	0.39491896258142895	2022-07-03	8.5	4	oddsapi_snapshot	2022-07-03 15:55:00+00:00	2022-07-03 16:00:00+00:00	2022-07-03 17:41:00+00:00	8.5	8.5	8.5	8.5	7	8.5	1.7666666666666666	9.699147567358212	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.199147567358212	1.199147567358212	0.5989583333333331	OVER	False	False	8.5		oddsapi	4.0	2022-07-03 15:55:00+00:00	2022-07-03 17:41:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
