target_date	month	game_id	away_team	home_team	predicted_total	kalshi_line	kalshi_side	kalshi_edge_pct	kalshi_fair_price_pct	kalshi_side_model_prob	kalshi_side_market_prob	kalshi_side_market_price	kalshi_bankroll_used	kalshi_bet_pct_bankroll	kalshi_recommended_bet	kalshi_contracts	away_score	home_score	total_runs	result	profit_per_contract	pnl_dollars	roi_pct	paper_bankroll_at_bet	paper_bankroll_after_day	settled
2026-04-15	2026-04	823314	Seattle Mariners	San Diego Padres	10.3	7.5	OVER	7.6	61.6	61.6	54.0	0.54	10000.0	4.130000000000001	413.0	764.8148148148148				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	823399	Washington Nationals	Pittsburgh Pirates	12.4	9.5	OVER	20.0	69.0	69.0	49.0	0.49	10000.0	9.8	980.0	2000.0				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	823477	Chicago Cubs	Philadelphia Phillies	11.4	8.5	OVER	15.2	70.2	70.2	55.0	0.55	10000.0	8.459999999999999	846.0	1538.181818181818				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	823561	Los Angeles Angels	New York Yankees	11.4	10.5	OVER	4.7	56.7	56.7	52.0	0.52	10000.0	2.44	0.0	0.0				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	823722	Boston Red Sox	Minnesota Twins	9.1	8.5	OVER	7.4	55.4	55.4	48.0	0.48	10000.0	3.56	0.0	0.0				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	823803	Toronto Blue Jays	Milwaukee Brewers	10.7	7.5	OVER	12.1	63.1	63.1	51.0	0.51	10000.0	6.17	617.0	1209.8039215686274				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	823963	New York Mets	Los Angeles Dodgers	9.5	7.5	OVER	7.3	60.3	60.3	53.0	0.53	10000.0	3.88	388.0	732.0754716981131				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	824209	Colorado Rockies	Houston Astros	12.1	8.5	OVER	19.5	73.5	73.5	54.0	0.54	10000.0	10.62	1062.0	1966.6666666666665				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	824291	Kansas City Royals	Detroit Tigers	8.0	8.5	UNDER	-7.3	45.7	54.3	47.0	0.47	10000.0	3.46	0.0	0.0				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	824532	San Francisco Giants	Cincinnati Reds	10.1	9.5	OVER	5.6	54.6	54.6	49.0	0.49	10000.0	2.73	0.0	0.0				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	824615	Tampa Bay Rays	Chicago White Sox	10.8	8.5	OVER	19.3	68.3	68.3	49.0	0.49	10000.0	9.48	948.0	1934.6938775510205				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	824936	Miami Marlins	Atlanta Braves	11.6	8.5	OVER	17.5	71.5	71.5	54.0	0.54	10000.0	9.49	949.0	1757.4074074074074				pending	0.0	0.0	0.0	10000.0	10000.0	False
2026-04-15	2026-04	825021	Texas Rangers	Athletics	8.7	9.5	UNDER	-9.1	42.9	57.1	48.0	0.48	10000.0	4.4	0.0	0.0				pending	0.0	0.0	0.0	10000.0	10000.0	False
